group_id,user_id,role,activity_level,read_rate,reply_rate,dismissal_rate,is_muted
group_001,user_020,member,lurker,0.66,0.54,0.1,False
group_001,user_031,member,passive,0.28,0.07,0.19,False
group_001,user_017,member,passive,0.91,0.18,0.32,False
group_001,user_061,member,active,0.72,0.25,0.36,True
group_001,user_086,member,lurker,0.79,0.28,0.24,False
group_001,user_015,member,active,0.58,0.27,0.43,False
group_001,user_073,member,active,0.53,0.29,0.45,False
group_001,user_028,member,lurker,0.31,0.16,0.28,False
group_001,user_060,member,lurker,0.81,0.4,0.27,False
group_001,user_090,member,lurker,0.64,0.26,0.16,True
group_001,user_033,member,passive,0.86,0.21,0.26,False
group_001,user_099,member,passive,0.22,0.6,0.13,False
group_001,user_048,member,passive,0.8,0.27,0.45,False
group_001,user_022,member,lurker,0.21,0.67,0.09,False
group_002,user_072,member,active,0.5,0.21,0.35,False
group_002,user_098,member,passive,0.62,0.27,0.5,False
group_002,user_031,admin,passive,0.73,0.23,0.16,True
group_002,user_089,member,lurker,0.34,0.13,0.29,False
group_002,user_061,member,active,0.36,0.36,0.38,False
group_002,user_083,member,active,0.82,0.24,0.21,False
group_002,user_092,member,active,0.73,0.13,0.07,True
group_002,user_063,admin,lurker,0.42,0.66,0.34,False
group_002,user_058,member,active,0.85,0.42,0.26,False
group_002,user_003,member,passive,0.34,0.08,0.47,False
group_002,user_012,member,active,0.82,0.31,0.08,True
group_002,user_038,member,active,0.31,0.42,0.19,False
group_003,user_072,member,active,0.78,0.3,0.46,False
group_003,user_098,member,lurker,0.94,0.25,0.33,True
group_003,user_054,member,active,0.67,0.22,0.09,False
group_003,user_078,member,active,0.61,0.15,0.23,False
group_003,user_077,member,passive,0.22,0.24,0.18,False
group_003,user_080,member,active,0.72,0.65,0.4,False
group_004,user_015,member,lurker,0.76,0.42,0.18,True
group_004,user_070,member,passive,0.72,0.5,0.47,False
group_004,user_029,member,passive,0.26,0.08,0.24,False
group_004,user_083,member,lurker,0.39,0.11,0.48,True
group_004,user_020,member,lurker,0.82,0.42,0.39,False
group_004,user_035,member,passive,0.59,0.34,0.18,False
group_004,user_019,member,lurker,0.81,0.68,0.26,False
group_004,user_010,member,passive,0.44,0.12,0.12,False
group_004,user_008,member,lurker,0.57,0.48,0.23,True
group_004,user_022,member,passive,0.27,0.21,0.1,False
group_004,user_040,member,lurker,0.82,0.05,0.44,False
group_005,user_007,member,passive,0.61,0.65,0.25,False
group_005,user_025,member,active,0.22,0.46,0.41,False
group_005,user_067,member,passive,0.61,0.41,0.09,True
group_005,user_047,member,passive,0.91,0.47,0.12,False
group_005,user_080,member,lurker,0.73,0.32,0.27,False
group_005,user_097,member,active,0.54,0.14,0.14,False
group_005,user_064,member,active,0.41,0.56,0.24,False
group_005,user_081,member,active,0.41,0.24,0.31,False
group_005,user_057,member,active,0.53,0.36,0.2,False
group_005,user_098,member,passive,0.9,0.62,0.49,False
group_005,user_027,member,lurker,0.49,0.61,0.23,False
group_006,user_091,member,active,0.86,0.34,0.29,False
group_006,user_049,member,active,0.74,0.32,0.34,False
group_006,user_050,member,active,0.55,0.68,0.2,False
group_006,user_085,member,lurker,0.26,0.26,0.35,False
group_006,user_084,member,passive,0.67,0.63,0.27,True
group_006,user_020,member,lurker,0.25,0.46,0.46,False
group_006,user_064,member,lurker,0.27,0.69,0.39,True
group_006,user_005,member,passive,0.32,0.24,0.06,False
group_006,user_017,member,active,0.42,0.29,0.12,False
group_006,user_065,member,lurker,0.71,0.17,0.13,False
group_006,user_076,member,lurker,0.71,0.37,0.31,False
group_006,user_043,member,passive,0.68,0.35,0.35,False
group_007,user_087,member,passive,0.72,0.35,0.19,False
group_007,user_070,member,passive,0.28,0.3,0.21,False
group_007,user_021,member,lurker,0.42,0.69,0.35,False
group_007,user_010,member,active,0.62,0.5,0.39,True
group_007,user_057,member,lurker,0.76,0.59,0.46,False
group_007,user_045,member,lurker,0.8,0.19,0.14,False
group_007,user_076,member,lurker,0.77,0.55,0.36,False
group_007,user_039,member,lurker,0.27,0.46,0.07,False
group_007,user_082,member,active,0.63,0.53,0.09,False
group_008,user_096,member,active,0.39,0.59,0.27,False
group_008,user_054,member,lurker,0.85,0.57,0.26,True
group_008,user_023,member,active,0.77,0.2,0.35,False
group_008,user_026,member,lurker,0.47,0.56,0.06,True
group_008,user_017,member,passive,0.48,0.54,0.17,False
group_008,user_070,member,lurker,0.91,0.12,0.16,True
group_008,user_047,member,lurker,0.86,0.41,0.46,False
group_008,user_068,member,lurker,0.25,0.59,0.46,False
group_008,user_065,member,lurker,0.51,0.14,0.48,False
group_008,user_035,member,passive,0.29,0.2,0.29,False
group_009,user_048,member,lurker,0.51,0.67,0.06,False
group_009,user_086,member,active,0.53,0.67,0.43,True
group_009,user_096,admin,lurker,0.48,0.64,0.34,True
group_009,user_090,member,passive,0.41,0.68,0.48,False
group_009,user_070,member,active,0.7,0.47,0.32,True
group_009,user_054,member,active,0.79,0.21,0.11,False
group_009,user_076,member,active,0.82,0.41,0.31,False
group_009,user_094,member,passive,0.78,0.56,0.32,False
group_009,user_020,member,active,0.94,0.4,0.41,True
group_009,user_084,member,lurker,0.85,0.14,0.21,False
group_009,user_013,member,lurker,0.44,0.16,0.07,False
group_009,user_063,member,lurker,0.29,0.09,0.25,False
group_010,user_076,member,active,0.25,0.36,0.23,True
group_010,user_014,member,passive,0.73,0.34,0.45,False
group_010,user_058,member,lurker,0.31,0.13,0.33,False
group_010,user_065,member,passive,0.95,0.39,0.25,False
group_010,user_029,admin,active,0.79,0.12,0.34,False
group_010,user_079,member,passive,0.54,0.2,0.2,False
group_010,user_006,member,passive,0.51,0.11,0.24,False
group_010,user_094,member,passive,0.92,0.5,0.26,True
group_010,user_085,member,active,0.27,0.11,0.38,False
group_010,user_067,member,lurker,0.24,0.67,0.3,True
group_010,user_039,member,passive,0.47,0.48,0.39,True
group_010,user_059,member,passive,0.65,0.28,0.31,False
group_010,user_083,member,active,0.69,0.2,0.1,False
group_011,user_098,member,lurker,0.66,0.47,0.06,False
group_011,user_036,member,active,0.34,0.51,0.19,False
group_011,user_074,member,passive,0.2,0.62,0.3,False
group_011,user_029,member,active,0.31,0.46,0.06,False
group_011,user_055,member,passive,0.51,0.27,0.22,False
group_011,user_072,member,lurker,0.65,0.62,0.12,True
group_012,user_011,member,lurker,0.71,0.37,0.35,True
group_012,user_035,member,active,0.5,0.44,0.05,False
group_012,user_057,member,active,0.78,0.55,0.18,True
group_012,user_085,member,active,0.57,0.33,0.11,False
group_012,user_055,member,lurker,0.62,0.48,0.21,False
group_012,user_063,member,lurker,0.23,0.06,0.46,False
group_012,user_078,member,lurker,0.52,0.31,0.34,False
group_012,user_054,member,active,0.5,0.68,0.13,False
group_012,user_028,member,lurker,0.89,0.11,0.43,False
group_012,user_097,member,passive,0.64,0.39,0.23,False
group_012,user_066,member,lurker,0.45,0.27,0.13,True
group_012,user_015,member,lurker,0.58,0.64,0.21,False
group_012,user_045,member,active,0.28,0.22,0.13,False
group_012,user_056,member,lurker,0.26,0.67,0.33,False
group_012,user_037,member,lurker,0.77,0.34,0.47,False
group_013,user_041,member,passive,0.23,0.29,0.18,True
group_013,user_020,member,lurker,0.65,0.3,0.31,True
group_013,user_057,member,passive,0.88,0.42,0.13,False
group_013,user_009,member,lurker,0.31,0.09,0.1,False
group_013,user_061,member,lurker,0.26,0.47,0.07,False
group_013,user_081,member,passive,0.59,0.45,0.21,False
group_013,user_039,member,passive,0.51,0.27,0.32,False
group_013,user_036,member,active,0.45,0.41,0.22,False
group_013,user_076,member,lurker,0.84,0.68,0.32,False
group_013,user_008,member,passive,0.26,0.48,0.46,False
group_013,user_046,member,lurker,0.72,0.3,0.32,True
group_013,user_065,member,passive,0.62,0.47,0.2,False
group_013,user_010,member,lurker,0.73,0.67,0.5,True
group_013,user_040,member,lurker,0.7,0.38,0.06,False
group_013,user_060,member,active,0.91,0.27,0.39,False
group_014,user_018,member,lurker,0.86,0.07,0.2,False
group_014,user_020,member,lurker,0.48,0.16,0.42,False
group_014,user_010,member,lurker,0.53,0.32,0.35,False
group_014,user_038,member,passive,0.66,0.54,0.4,False
group_014,user_013,member,lurker,0.38,0.68,0.4,False
group_014,user_065,member,passive,0.71,0.42,0.25,False
group_014,user_099,member,passive,0.58,0.32,0.12,False
group_014,user_070,member,lurker,0.3,0.21,0.34,False
group_015,user_014,member,active,0.91,0.19,0.25,False
group_015,user_092,member,active,0.51,0.31,0.22,False
group_015,user_067,member,active,0.48,0.07,0.47,False
group_015,user_016,member,active,0.3,0.24,0.42,False
group_015,user_037,member,lurker,0.55,0.45,0.46,True
