message_id,user_id,event_type,event_timestamp
hist_msg_0001,user_098,replied,2026-07-20T13:31:53.145477
hist_msg_0002,user_076,reported,2026-07-09T08:13:53.145477
hist_msg_0003,user_019,replied,2026-07-14T10:03:53.145477
hist_msg_0004,user_005,opened,2026-07-12T12:08:53.145477
hist_msg_0005,user_062,dismissed,2026-07-25T15:32:53.145477
hist_msg_0006,user_023,opened,2026-07-13T15:49:53.145477
hist_msg_0007,user_068,dismissed,2026-07-13T15:39:53.145477
hist_msg_0008,user_042,dismissed,2026-07-06T03:23:53.145477
hist_msg_0009,user_091,replied,2026-07-24T00:49:53.145477
hist_msg_0010,user_040,reported,2026-07-26T18:51:53.145477
hist_msg_0011,user_099,reported,2026-07-12T08:29:53.145477
hist_msg_0012,user_082,opened,2026-07-27T08:31:53.145477
hist_msg_0013,user_045,muted,2026-07-05T08:02:53.145477
hist_msg_0014,user_034,opened,2026-07-20T11:33:53.145477
hist_msg_0015,user_001,replied,2026-07-08T06:54:53.145477
hist_msg_0016,user_053,muted,2026-07-19T16:41:53.145477
hist_msg_0017,user_074,opened,2026-07-17T16:38:53.145477
hist_msg_0018,user_003,muted,2026-07-21T13:21:53.145477
hist_msg_0019,user_094,reported,2026-07-21T00:55:53.145477
hist_msg_0020,user_062,reported,2026-07-11T14:54:53.145477
hist_msg_0021,user_056,replied,2026-07-21T12:53:53.145477
hist_msg_0022,user_090,dismissed,2026-07-10T09:31:53.145477
hist_msg_0023,user_013,replied,2026-07-14T03:07:53.145477
hist_msg_0024,user_047,muted,2026-07-21T23:26:53.145477
hist_msg_0025,user_013,opened,2026-07-11T10:01:53.145477
hist_msg_0026,user_015,opened,2026-07-03T11:23:53.145477
hist_msg_0027,user_070,muted,2026-07-20T13:06:53.145477
hist_msg_0028,user_034,reported,2026-07-05T10:08:53.145477
hist_msg_0029,user_020,reported,2026-07-10T07:53:53.145477
hist_msg_0030,user_097,reported,2026-07-30T06:54:53.145477
hist_msg_0031,user_069,muted,2026-07-03T11:39:53.145477
hist_msg_0032,user_011,reported,2026-07-03T03:27:53.145477
hist_msg_0033,user_080,replied,2026-07-26T14:44:53.145477
hist_msg_0034,user_025,replied,2026-07-29T06:46:53.145477
hist_msg_0035,user_081,opened,2026-07-21T16:50:53.145477
hist_msg_0036,user_072,opened,2026-07-15T05:41:53.145477
hist_msg_0037,user_090,opened,2026-07-06T05:54:53.145477
hist_msg_0038,user_020,opened,2026-07-13T16:13:53.145477
hist_msg_0039,user_100,muted,2026-07-03T07:34:53.145477
hist_msg_0040,user_050,opened,2026-07-12T03:23:53.145477
hist_msg_0041,user_036,opened,2026-07-10T06:51:53.145477
hist_msg_0042,user_043,dismissed,2026-07-08T04:55:53.145477
hist_msg_0043,user_048,muted,2026-07-22T11:50:53.145477
hist_msg_0044,user_090,muted,2026-07-27T10:40:53.145477
hist_msg_0045,user_042,replied,2026-07-25T05:57:53.145477
hist_msg_0046,user_053,opened,2026-07-04T08:06:53.145477
hist_msg_0047,user_021,reported,2026-07-19T15:53:53.145477
hist_msg_0048,user_073,opened,2026-07-03T12:32:53.145477
hist_msg_0049,user_005,muted,2026-07-23T08:05:53.145477
hist_msg_0050,user_051,muted,2026-07-24T08:17:53.145477
hist_msg_0051,user_058,dismissed,2026-07-14T07:21:53.145477
hist_msg_0052,user_034,opened,2026-07-31T06:21:53.145477
hist_msg_0053,user_074,dismissed,2026-07-10T13:24:53.145477
hist_msg_0054,user_053,replied,2026-07-16T15:17:53.145477
hist_msg_0055,user_002,dismissed,2026-07-06T09:55:53.145477
hist_msg_0056,user_049,reported,2026-07-17T10:46:53.145477
hist_msg_0057,user_080,reported,2026-07-15T08:23:53.145477
hist_msg_0058,user_077,muted,2026-07-10T15:09:53.145477
hist_msg_0059,user_044,replied,2026-07-11T09:20:53.145477
hist_msg_0060,user_067,replied,2026-07-19T09:33:53.145477
hist_msg_0061,user_004,muted,2026-07-23T05:50:53.145477
hist_msg_0062,user_095,dismissed,2026-07-05T13:33:53.145477
hist_msg_0063,user_092,dismissed,2026-07-11T04:05:53.145477
hist_msg_0064,user_039,opened,2026-07-26T10:01:53.145477
hist_msg_0065,user_017,dismissed,2026-07-07T14:24:53.145477
hist_msg_0066,user_012,muted,2026-07-08T10:41:53.145477
hist_msg_0067,user_043,muted,2026-07-17T15:07:53.145477
hist_msg_0068,user_082,replied,2026-07-29T04:05:53.145477
hist_msg_0069,user_016,opened,2026-07-22T06:52:53.145477
hist_msg_0070,user_020,muted,2026-07-18T00:19:53.145477
hist_msg_0071,user_041,replied,2026-07-16T08:41:53.145477
hist_msg_0072,user_082,replied,2026-07-23T13:14:53.145477
hist_msg_0073,user_098,muted,2026-07-27T00:22:53.145477
hist_msg_0074,user_055,reported,2026-07-31T17:26:53.145477
hist_msg_0075,user_094,opened,2026-07-25T19:21:53.145477
hist_msg_0076,user_094,opened,2026-07-22T14:50:53.145477
hist_msg_0077,user_065,dismissed,2026-07-29T17:38:53.145477
hist_msg_0078,user_059,muted,2026-07-15T09:54:53.145477
hist_msg_0079,user_088,replied,2026-07-20T13:57:53.145477
hist_msg_0080,user_052,replied,2026-07-08T15:34:53.145477
hist_msg_0081,user_003,opened,2026-07-28T07:49:53.145477
hist_msg_0082,user_082,opened,2026-07-12T18:24:53.145477
hist_msg_0083,user_003,muted,2026-07-18T04:16:53.145477
hist_msg_0084,user_071,dismissed,2026-07-25T18:54:53.145477
hist_msg_0085,user_085,reported,2026-07-23T00:30:53.145477
hist_msg_0086,user_018,opened,2026-07-28T10:41:53.145477
hist_msg_0087,user_014,reported,2026-07-07T10:26:53.145477
hist_msg_0088,user_046,reported,2026-07-26T18:04:53.145477
