message_id,user_id,sender_user_id,business_id,group_id,created_at,message_text,media_type,media_id,category
hist_msg_0001,user_098,user_074,,,2026-07-20T13:00:53.145477,Historical message 1 for greeting context,,,greeting
hist_msg_0002,user_076,user_076,,group_012,2026-07-09T07:00:53.145477,Historical message 2 for personal context,,,personal
hist_msg_0003,user_019,,biz_004,,2026-07-14T09:00:53.145477,Historical message 3 for forward context,,,forward
hist_msg_0004,user_005,user_008,,,2026-07-12T11:00:53.145477,Historical message 4 for payment context,,,payment
hist_msg_0005,user_062,user_043,,,2026-07-25T14:00:53.145477,Historical message 5 for scam context,,,scam
hist_msg_0006,user_023,user_003,,group_002,2026-07-13T14:00:53.145477,Historical message 6 for event context,,,event
hist_msg_0007,user_068,user_048,,group_003,2026-07-13T15:00:53.145477,Historical message 7 for greeting context,,,greeting
hist_msg_0008,user_042,user_021,,,2026-07-06T03:00:53.145477,Historical message 8 for greeting context,,,greeting
hist_msg_0009,user_091,,biz_010,,2026-07-24T00:00:53.145477,Historical message 9 for promotion context,,,promotion
hist_msg_0010,user_040,,biz_005,,2026-07-26T18:00:53.145477,Historical message 10 for event context,,,event
hist_msg_0011,user_099,,biz_001,,2026-07-12T08:00:53.145477,Historical message 11 for event context,,,event
hist_msg_0012,user_082,,biz_002,,2026-07-27T08:00:53.145477,Historical message 12 for forward context,,,forward
hist_msg_0013,user_045,user_082,,group_006,2026-07-05T08:00:53.145477,Historical message 13 for urgent context,,,urgent
hist_msg_0014,user_034,user_032,,,2026-07-20T10:00:53.145477,Historical message 14 for urgent context,,,urgent
hist_msg_0015,user_001,user_050,,,2026-07-08T05:00:53.145477,Historical message 15 for forward context,,,forward
hist_msg_0016,user_053,user_045,,group_013,2026-07-19T15:00:53.145477,Historical message 16 for spam context,,,spam
hist_msg_0017,user_074,,biz_004,,2026-07-17T16:00:53.145477,Historical message 17 for event context,,,event
hist_msg_0018,user_003,user_014,,group_009,2026-07-21T13:00:53.145477,Historical message 18 for urgent context,,,urgent
hist_msg_0019,user_094,user_071,,,2026-07-20T23:00:53.145477,Historical message 19 for urgent context,,,urgent
hist_msg_0020,user_062,,biz_001,,2026-07-11T13:00:53.145477,Historical message 20 for greeting context,,,greeting
hist_msg_0021,user_056,user_007,,,2026-07-21T12:00:53.145477,Historical message 21 for urgent context,,,urgent
hist_msg_0022,user_090,,biz_009,,2026-07-10T09:00:53.145477,Historical message 22 for business_update context,,,business_update
hist_msg_0023,user_013,user_051,,,2026-07-14T03:00:53.145477,Historical message 23 for scam context,,,scam
hist_msg_0024,user_047,user_055,,,2026-07-21T23:00:53.145477,Historical message 24 for urgent context,,,urgent
hist_msg_0025,user_013,user_027,,,2026-07-11T09:00:53.145477,Historical message 25 for event context,,,event
hist_msg_0026,user_015,user_061,,group_013,2026-07-03T10:00:53.145477,Historical message 26 for forward context,,,forward
hist_msg_0027,user_070,user_048,,group_006,2026-07-20T13:00:53.145477,Historical message 27 for greeting context,,,greeting
hist_msg_0028,user_034,user_034,,group_015,2026-07-05T10:00:53.145477,Historical message 28 for payment context,,,payment
hist_msg_0029,user_020,,biz_002,,2026-07-10T07:00:53.145477,Historical message 29 for urgent context,,,urgent
hist_msg_0030,user_097,,biz_004,,2026-07-30T06:00:53.145477,Historical message 30 for spam context,,,spam
hist_msg_0031,user_069,,biz_008,,2026-07-03T11:00:53.145477,Historical message 31 for scam context,,,scam
hist_msg_0032,user_011,user_065,,group_002,2026-07-03T02:00:53.145477,Historical message 32 for scam context,,,scam
hist_msg_0033,user_080,user_016,,,2026-07-26T13:00:53.145477,Historical message 33 for forward context,,,forward
hist_msg_0034,user_025,user_006,,,2026-07-29T05:00:53.145477,Historical message 34 for greeting context,,,greeting
hist_msg_0035,user_081,user_077,,,2026-07-21T16:00:53.145477,Historical message 35 for business_update context,,,business_update
hist_msg_0036,user_072,user_042,,group_018,2026-07-15T04:00:53.145477,Historical message 36 for business_update context,,,business_update
hist_msg_0037,user_090,,biz_010,,2026-07-06T05:00:53.145477,Historical message 37 for spam context,,,spam
hist_msg_0038,user_020,user_073,,,2026-07-13T15:00:53.145477,Historical message 38 for scam context,,,scam
hist_msg_0039,user_100,user_037,,,2026-07-03T07:00:53.145477,Historical message 39 for spam context,,,spam
hist_msg_0040,user_050,,biz_008,,2026-07-12T03:00:53.145477,Historical message 40 for scam context,,,scam
hist_msg_0041,user_036,user_080,,group_005,2026-07-10T06:00:53.145477,Historical message 41 for scam context,,,scam
hist_msg_0042,user_043,,biz_004,,2026-07-08T03:00:53.145477,Historical message 42 for personal context,,,personal
hist_msg_0043,user_048,user_044,,,2026-07-22T10:00:53.145477,Historical message 43 for business_update context,,,business_update
hist_msg_0044,user_090,,biz_002,,2026-07-27T09:00:53.145477,Historical message 44 for payment context,,,payment
hist_msg_0045,user_042,user_078,,group_014,2026-07-25T04:00:53.145477,Historical message 45 for urgent context,,,urgent
hist_msg_0046,user_053,,biz_008,,2026-07-04T07:00:53.145477,Historical message 46 for spam context,,,spam
hist_msg_0047,user_021,user_040,,,2026-07-19T14:00:53.145477,Historical message 47 for spam context,,,spam
hist_msg_0048,user_073,user_023,,,2026-07-03T12:00:53.145477,Historical message 48 for payment context,,,payment
hist_msg_0049,user_005,user_047,,group_002,2026-07-23T07:00:53.145477,Historical message 49 for payment context,,,payment
hist_msg_0050,user_051,,biz_002,,2026-07-24T07:00:53.145477,Historical message 50 for personal context,,,personal
hist_msg_0051,user_058,user_061,,,2026-07-14T07:00:53.145477,Historical message 51 for scam context,,,scam
hist_msg_0052,user_034,,biz_002,,2026-07-31T06:00:53.145477,Historical message 52 for business_update context,,,business_update
hist_msg_0053,user_074,user_029,,,2026-07-10T12:00:53.145477,Historical message 53 for payment context,,,payment
hist_msg_0054,user_053,,biz_001,,2026-07-16T14:00:53.145477,Historical message 54 for personal context,,,personal
hist_msg_0055,user_002,user_033,,,2026-07-06T09:00:53.145477,Historical message 55 for scam context,,,scam
hist_msg_0056,user_049,user_033,,group_015,2026-07-17T09:00:53.145477,Historical message 56 for payment context,,,payment
hist_msg_0057,user_080,user_014,,group_019,2026-07-15T07:00:53.145477,Historical message 57 for personal context,,,personal
hist_msg_0058,user_077,,biz_005,,2026-07-10T15:00:53.145477,Historical message 58 for business_update context,,,business_update
hist_msg_0059,user_044,user_036,,group_011,2026-07-11T09:00:53.145477,Historical message 59 for business_update context,,,business_update
hist_msg_0060,user_067,user_008,,,2026-07-19T08:00:53.145477,Historical message 60 for scam context,,,scam
hist_msg_0061,user_004,,biz_008,,2026-07-23T05:00:53.145477,Historical message 61 for business_update context,,,business_update
hist_msg_0062,user_095,user_075,,,2026-07-05T12:00:53.145477,Historical message 62 for scam context,,,scam
hist_msg_0063,user_092,user_088,,,2026-07-11T03:00:53.145477,Historical message 63 for spam context,,,spam
hist_msg_0064,user_039,user_085,,,2026-07-26T09:00:53.145477,Historical message 64 for spam context,,,spam
hist_msg_0065,user_017,,biz_005,,2026-07-07T13:00:53.145477,Historical message 65 for spam context,,,spam
hist_msg_0066,user_012,user_046,,,2026-07-08T09:00:53.145477,Historical message 66 for payment context,,,payment
hist_msg_0067,user_043,user_075,,group_009,2026-07-17T15:00:53.145477,Historical message 67 for business_update context,,,business_update
hist_msg_0068,user_082,,biz_010,,2026-07-29T03:00:53.145477,Historical message 68 for scam context,,,scam
hist_msg_0069,user_016,,biz_007,,2026-07-22T05:00:53.145477,Historical message 69 for spam context,,,spam
hist_msg_0070,user_020,user_026,,,2026-07-18T00:00:53.145477,Historical message 70 for promotion context,,,promotion
hist_msg_0071,user_041,,biz_003,,2026-07-16T08:00:53.145477,Historical message 71 for urgent context,,,urgent
hist_msg_0072,user_082,user_001,,,2026-07-23T12:00:53.145477,Historical message 72 for forward context,,,forward
hist_msg_0073,user_098,user_063,,,2026-07-26T23:00:53.145477,Historical message 73 for urgent context,,,urgent
hist_msg_0074,user_055,user_062,,group_014,2026-07-31T17:00:53.145477,Historical message 74 for greeting context,,,greeting
hist_msg_0075,user_094,user_042,,group_001,2026-07-25T18:00:53.145477,Historical message 75 for spam context,,,spam
hist_msg_0076,user_094,user_029,,,2026-07-22T14:00:53.145477,Historical message 76 for promotion context,,,promotion
hist_msg_0077,user_065,,biz_005,,2026-07-29T17:00:53.145477,Historical message 77 for event context,,,event
hist_msg_0078,user_059,,biz_009,,2026-07-15T08:00:53.145477,Historical message 78 for scam context,,,scam
hist_msg_0079,user_088,user_044,,,2026-07-20T12:00:53.145477,Historical message 79 for forward context,,,forward
hist_msg_0080,user_052,user_030,,,2026-07-08T14:00:53.145477,Historical message 80 for payment context,,,payment
hist_msg_0081,user_003,,biz_009,,2026-07-28T07:00:53.145477,Historical message 81 for event context,,,event
hist_msg_0082,user_082,user_080,,group_018,2026-07-12T17:00:53.145477,Historical message 82 for personal context,,,personal
hist_msg_0083,user_003,user_089,,,2026-07-18T04:00:53.145477,Historical message 83 for urgent context,,,urgent
hist_msg_0084,user_071,user_090,,group_016,2026-07-25T18:00:53.145477,Historical message 84 for event context,,,event
hist_msg_0085,user_085,user_085,,,2026-07-22T23:00:53.145477,Historical message 85 for spam context,,,spam
hist_msg_0086,user_018,user_066,,group_004,2026-07-28T09:00:53.145477,Historical message 86 for scam context,,,scam
hist_msg_0087,user_014,user_078,,group_007,2026-07-07T10:00:53.145477,Historical message 87 for payment context,,,payment
hist_msg_0088,user_046,,biz_007,,2026-07-26T17:00:53.145477,Historical message 88 for business_update context,,,business_update
hist_msg_0089,user_027,,biz_008,,2026-07-24T18:00:53.145477,Historical message 89 for promotion context,,,promotion
hist_msg_0090,user_012,user_074,,,2026-07-27T16:00:53.145477,Historical message 90 for forward context,,,forward
hist_msg_0091,user_093,,biz_002,,2026-07-11T11:00:53.145477,Historical message 91 for business_update context,,,business_update
hist_msg_0092,user_034,user_013,,group_002,2026-07-04T17:00:53.145477,Historical message 92 for event context,,,event
hist_msg_0093,user_087,user_095,,group_014,2026-07-28T17:00:53.145477,Historical message 93 for urgent context,,,urgent
hist_msg_0094,user_018,,biz_003,,2026-07-20T04:00:53.145477,Historical message 94 for promotion context,,,promotion
hist_msg_0095,user_094,user_048,,,2026-07-26T15:00:53.145477,Historical message 95 for promotion context,,,promotion
hist_msg_0096,user_059,user_089,,group_013,2026-07-06T05:00:53.145477,Historical message 96 for forward context,,,forward
hist_msg_0097,user_017,,biz_001,,2026-07-28T05:00:53.145477,Historical message 97 for event context,,,event
hist_msg_0098,user_073,,biz_008,,2026-07-12T06:00:53.145477,Historical message 98 for event context,,,event
hist_msg_0099,user_004,,biz_003,,2026-07-02T03:00:53.145477,Historical message 99 for forward context,,,forward
hist_msg_0100,user_053,user_009,,group_002,2026-07-11T08:00:53.145477,Historical message 100 for business_update context,,,business_update
hist_msg_0101,user_087,,biz_010,,2026-07-24T08:00:53.145477,Historical message 101 for scam context,,,scam
hist_msg_0102,user_089,,biz_010,,2026-07-18T11:00:53.145477,Historical message 102 for urgent context,,,urgent
hist_msg_0103,user_085,,biz_007,,2026-07-05T01:00:53.145477,Historical message 103 for event context,,,event
hist_msg_0104,user_002,,biz_003,,2026-07-04T03:00:53.145477,Historical message 104 for spam context,,,spam
hist_msg_0105,user_022,user_097,,,2026-07-21T11:00:53.145477,Historical message 105 for forward context,,,forward
hist_msg_0106,user_007,,biz_004,,2026-07-11T06:00:53.145477,Historical message 106 for spam context,,,spam
hist_msg_0107,user_031,user_059,,,2026-07-06T00:00:53.145477,Historical message 107 for forward context,,,forward
hist_msg_0108,user_064,user_016,,group_011,2026-07-08T18:00:53.145477,Historical message 108 for forward context,,,forward
hist_msg_0109,user_053,user_072,,,2026-07-31T16:00:53.145477,Historical message 109 for spam context,,,spam
