user_id,quiet_hours_start,quiet_hours_end,recent_opens,recent_replies,recent_dismissals,recent_reports
user_001,22:00,07:00,80,36,16,1
user_002,22:00,,32,80,29,0
user_003,22:00,07:00,65,34,34,4
user_004,22:00,,60,74,28,1
user_005,00:00,,81,5,50,1
user_006,00:00,06:30,81,24,15,2
user_007,22:00,07:00,107,17,24,2
user_008,,,77,10,48,3
user_009,,,41,53,7,4
user_010,21:30,,102,78,14,5
user_011,22:00,07:00,68,42,7,1
user_012,22:00,08:30,81,63,42,2
user_013,23:00,06:30,100,31,44,2
user_014,22:00,,53,73,48,1
user_015,23:00,08:30,107,39,42,5
user_016,,,66,46,5,1
user_017,22:00,06:30,112,39,6,1
user_018,,,90,32,43,3
user_019,00:00,08:30,46,38,10,1
user_020,,,147,38,49,4
user_021,00:00,,112,51,16,1
user_022,,,136,16,50,0
user_023,22:00,08:00,50,59,40,0
user_024,00:00,08:30,129,72,18,4
user_025,22:00,07:00,147,39,43,2
user_026,22:00,06:30,121,25,31,0
user_027,21:30,,55,69,8,5
user_028,21:30,,60,24,25,1
user_029,,,145,5,40,2
user_030,00:00,07:00,38,51,21,1
user_031,22:00,08:00,30,15,48,3
user_032,22:00,,42,21,44,3
user_033,,,52,38,35,4
user_034,00:00,08:00,148,30,47,2
user_035,00:00,06:30,122,71,30,0
user_036,23:00,08:00,26,48,3,4
user_037,,,68,80,16,0
user_038,22:00,07:00,68,13,4,2
user_039,22:00,,70,40,44,3
user_040,23:00,,43,78,38,3
user_041,23:00,08:30,114,29,8,0
user_042,00:00,06:30,118,57,31,5
user_043,22:00,07:00,25,56,48,2
user_044,22:00,08:00,59,29,36,3
user_045,23:00,08:30,56,40,31,1
user_046,22:00,08:30,150,17,5,5
user_047,,,13,16,50,1
user_048,23:00,08:30,134,66,15,3
user_049,22:00,08:00,107,5,26,2
user_050,00:00,06:30,118,76,44,5
user_051,00:00,08:00,58,42,15,0
user_052,,,148,12,49,2
user_053,22:00,07:00,132,69,35,1
user_054,22:00,,30,28,6,4
user_055,22:00,08:00,113,20,38,1
user_056,,,20,15,28,5
user_057,,,143,45,18,1
user_058,21:30,08:00,77,55,10,5
user_059,21:30,08:30,90,14,2,3
user_060,,,35,14,36,1
user_061,,,77,21,24,0
user_062,23:00,06:30,82,25,30,4
user_063,21:30,,145,6,44,4
user_064,21:30,07:00,44,38,9,0
user_065,,,49,39,20,4
user_066,23:00,06:30,62,38,34,3
user_067,21:30,07:00,33,59,19,0
user_068,22:00,06:30,43,38,12,5
user_069,00:00,,119,76,2,0
user_070,22:00,08:00,149,9,25,4
user_071,,,47,60,10,0
user_072,21:30,06:30,20,50,15,5
user_073,23:00,07:00,100,76,28,4
user_074,23:00,08:00,51,27,28,0
user_075,23:00,06:30,115,36,19,1
user_076,22:00,08:30,19,65,16,1
user_077,00:00,06:30,88,34,16,0
user_078,23:00,08:30,94,40,6,2
user_079,21:30,,112,73,23,0
user_080,22:00,06:30,55,79,18,0
user_081,22:00,,121,49,48,2
user_082,00:00,,140,19,26,4
user_083,23:00,06:30,21,60,2,4
user_084,,,60,51,29,0
user_085,21:30,,90,20,48,2
user_086,,,89,57,22,3
user_087,21:30,,42,29,28,5
user_088,00:00,08:00,87,56,37,0
user_089,21:30,06:30,63,60,39,4
user_090,21:30,08:30,123,61,45,1
user_091,,,131,26,44,0
user_092,21:30,,95,16,50,1
user_093,21:30,08:00,60,23,3,0
user_094,23:00,08:30,28,63,28,5
user_095,,,59,54,33,3
user_096,23:00,08:00,11,18,29,1
user_097,23:00,,128,11,37,1
user_098,22:00,08:30,44,64,44,4
user_099,,,91,61,41,5
user_100,,,119,75,30,1
